layer,head,dla,patched_logit_diff,causal_drop
9,9,3.0258593559265137,1.5343691110610962,1.626761794090271
8,10,0.3939898908138275,2.2699944972991943,0.8911364078521729
10,0,0.34846383333206177,2.505340576171875,0.6557903289794922
7,9,0.24073128402233124,2.598188638687134,0.5629422664642334
10,6,0.6078314185142517,2.660900354385376,0.5002305507659912
8,3,0.11255331337451935,2.8738973140716553,0.2872335910797119
7,3,0.1242666020989418,2.882380723953247,0.2787501811981201
11,1,0.20568858087062836,2.9158935546875,0.2452373504638672
10,1,0.07944098860025406,3.0607357025146484,0.10039520263671875
9,6,0.9027367830276489,3.1785025596618652,-0.017371654510498047
